Virus,Full_name,Strain,Year,virus
HK68,A/HongKong/1968,H3N2,1968,7872
EN72,A/England/1972,H3N2,1972,7888
VC75,A/Victoria/1975,H3N2,1975,7900
TX77,A/Texas/1977,H3N2,1977,7908
BK79,A/Bangkok/1979,H3N2,1979,7916
PH82,A/Philippines/1982,H3N2,1982,7928
MS85,A/Mississippi/1985,H3N2,1985,7940
SC87,A/Sichuan/1987,H3N2,1987,7948
BJ89,A/Beijing/1989,H3N2,1989,7956
BJ92,A/Beijing/1992,H3N2,1992,7968
WU95,A/Wuhan/1995,H3N2,1995,7980
VC98,A/Victoria/1998,H3N2,1998,7992
FJ00,A/Fujian/2000,H3N2,2000,8000
FJ02,A/Fujian/2002,H3N2,2002,8008
CL04,A/California/2004,H3N2,2004,8016
BR07,A/Brisbane/2007,H3N2,2007,8028
VC09,A/Victoria/2009,H3N2,2009,8036
PE09,A/Perth/2009,H3N2,2010,8040
TX12,A/Texas/2012,H3N2,2012,8048
HK14,A/HongKong/2014,H3N2,2014,8056
X31,X31,H3N2,NA,NA