names,values,fixed,steps,lower_bound,upper_bound,lower_start,upper_start,type
mu,1.8,0,0.1,0,8,1,3,1
mu_short,2.7,0,0.1,0,8,1,3,1
tau,0.05,0,0.1,0,1,0.01,0.1,1
wane,0.8,0,0.1,0,1,0.2,0.8,1
sigma1,0.1,0,0.1,0,1,0.1,0.2,1
sigma2,0.03,0,0.1,0,1,0.01,0.1,1
MAX_TITRE,8,1,0.1,0,8,8,8,1
error,1,0,0.1,0,25,0.5,2,1
alpha,1,1,0.1,0,1000,0,1000,1
beta,1,1,0.1,0,1000,0,1000,1
boost_limit,6,1,0.1,0,8,0,8,1
gradient,0.2,1,0.1,0,1,0,1,1
titre_dependent,0,1,0.1,0,1,0,1,0
phi,0.5,0,0.1,0,1,0,1,2
rho_mean,0,1,0.1,-10,10,-2,2,1
rho_sd,1,1,0.1,0,10,1,2,1
complex_cr,0,1,0.1,0,1,0,1,0